Drug,geneName,log2FoldChange,padj no NA,pvalue
Enzalutamide,VPS13D,0.052706491,1,0.788113234
Enzalutamide,SNORA59A,0.43601911,1,0.516100901
Enzalutamide,DHRS3,0.205959751,1,0.632432285
Enzalutamide,AC254633.1,0.336162865,1,0.812733087
Enzalutamide,C1orf158,0.424958954,1,0.481119072
Enzalutamide,PRAMEF12,-0.892783555,1,0.24395107
Enzalutamide,PRAMEF1,-5.52E-05,1,0.999966398
Enzalutamide,PRAMEF11,0.968932287,1,0.751132027
Enzalutamide,HNRNPCL1,-0.488217542,1,0.635647223
Enzalutamide,PRAMEF2,-0.95465203,1,0.757141476
Enzalutamide,PRAMEF7,-1.201078234,1,0.349802726
Enzalutamide,PRAMEF6,1.501830806,1,0.45291136
Enzalutamide,PRAMEF28P,-0.954653113,1,0.723153533
Enzalutamide,PRAMEF27,0.007140098,1,0.997376914
Enzalutamide,HNRNPCL3,-1.457289687,1,0.752958112
Enzalutamide,PRAMEF25,1.455352373,1,0.530621281
Enzalutamide,PRAMEF34P,0.42292256,1,0.47062631
Enzalutamide,HNRNPCL2,-0.191981403,1,0.831403896
Enzalutamide,PRAMEF36P,0.422979757,1,0.472165467
Enzalutamide,PRAMEF26,1.455752485,1,0.524707061
Enzalutamide,HNRNPCL4,-2.842617849,1,0.53145008
Enzalutamide,PRAMEF9,0.007140095,1,0.997589917
Enzalutamide,PRAMEF13,-1.837639436,1,0.521114668
Enzalutamide,PRAMEF5,0.025580291,1,0.990380968
Enzalutamide,PRAMEF8,-0.980759885,1,0.37422577
Enzalutamide,PRAMEF15,0.041134667,1,0.99037839
Enzalutamide,PRAMEF14,-1.850700834,1,0.288400238
Enzalutamide,PDPN,0.968930762,1,0.783887865
Enzalutamide,PRDM2,-0.01231534,1,0.953668062
Enzalutamide,KAZN,-0.037116139,1,0.811376021
Enzalutamide,TBCAP2,-0.954646249,1,0.837403919
Enzalutamide,TMEM51-AS1,0.11187594,1,0.859588642
Enzalutamide,TMEM51,-0.041777267,1,0.810793402
Enzalutamide,FHAD1,0.893815686,1,0.236054047
Enzalutamide,AL031283.2,-0.889437897,1,0.797467336
Enzalutamide,AL031283.1,0.00714008,1,0.998165323
Enzalutamide,EFHD2,0.043465836,1,0.887492192
Enzalutamide,CELA2B,-1.464148074,1,0.585864817
Enzalutamide,CASP9,-0.082526221,1,0.72168762
Enzalutamide,DNAJC16,0.025439649,1,0.930004454
Enzalutamide,AGMAT,0.172904008,1,0.836003635
Enzalutamide,CHCHD2P6,0.080180956,1,0.870919899
Enzalutamide,DDI2,0.031620529,1,0.951994121
Enzalutamide,AL121992.2,-0.954646142,1,0.838229136
Enzalutamide,PLEKHM2,-0.043595118,1,0.890349368
Enzalutamide,AL450998.2,-0.695684861,1,0.515716292
Enzalutamide,SLC25A34,0.502086365,1,0.145871773
Enzalutamide,FBLIM1,-0.208011957,1,0.424396476
Enzalutamide,RPL12P14,0.380751888,1,0.681887247
Enzalutamide,UQCRHL,0.094346274,1,0.513327154
Enzalutamide,AL450998.1,-0.143543531,1,0.73570574
Enzalutamide,FLJ37453,0.009561354,1,0.934398584
Enzalutamide,SPEN,-0.020757119,1,0.87369482
Enzalutamide,ZBTB17,-0.004558968,1,0.985720291
Enzalutamide,AL355994.2,-0.997980836,1,0.42610504
Enzalutamide,FAM131C,-0.666060366,1,0.184402776
Enzalutamide,EPHA2,0.229622566,1,0.371915129
Enzalutamide,AL451042.2,-0.365564554,1,0.623658673
Enzalutamide,AL451042.1,2.707108253,1,0.085849208
Enzalutamide,ARHGEF19,-0.092917492,1,0.763649102
Enzalutamide,ANO7L1,-0.702789925,1,0.147652852
Enzalutamide,CPLANE2,0.001144947,1,0.997251281
Enzalutamide,MT1XP1,0.647414298,1,0.455086541
Enzalutamide,FBXO42,-0.307854008,0.065663716,0.000297165
Enzalutamide,SZRD1,-0.061783405,1,0.801427679
Enzalutamide,RPL22P3,-0.839044732,1,0.406429797
Enzalutamide,NECAP2,-0.063400108,1,0.74553362
Enzalutamide,LINC01772,-0.315362687,1,0.714648578
Enzalutamide,CROCCP3,0.072804792,1,0.916798692
Enzalutamide,RNU1-1,0.959029981,1,0.837211813
Enzalutamide,AL137802.2,-0.262413046,1,0.686233566
Enzalutamide,LINC01783,-0.669002171,1,0.485993854
Enzalutamide,NBPF1,0.180479897,1,0.381515466
Enzalutamide,AL137798.1,-0.350724869,1,0.734896445
Enzalutamide,CROCCP2,0.106249387,1,0.554663233
Enzalutamide,MST1P2,0.746212317,1,0.281552744
Enzalutamide,AL137798.2,0.108147302,1,0.86198402
Enzalutamide,RNU1-3,0.950694945,1,0.754279974
Enzalutamide,AL021920.2,0,1,1
Enzalutamide,EIF1AXP1,-0.154588868,1,0.727292929
Enzalutamide,ESPNP,0.995588041,1,0.162535959
Enzalutamide,AL021920.3,0.002838131,1,0.996447136
Enzalutamide,CROCC,-0.050134432,1,0.742207464
Enzalutamide,RNU1-4,0.950454007,1,0.752513406
Enzalutamide,MST1L,1.199203107,1,0.243774221
Enzalutamide,BX284668.2,-0.386815936,1,0.536243268
Enzalutamide,RNU1-2,0.945015514,1,0.715863352
Enzalutamide,BX284668.6,-0.346045695,1,0.67082544
Enzalutamide,ATP13A2,0.008327317,1,0.982749738
Enzalutamide,SDHB,-0.014707285,1,0.913189032
